plan,district_id,district_name,polsby_popper,reock
UT-2026,4,4,0.5648,0.5624
VA-2022,1,1,0.2035,0.411
VA-2022,2,2,0.2033,0.2228
VA-2022,3,3,0.3252,0.426
VA-2022,4,4,0.303,0.4955
VA-2022,5,5,0.3662,0.4625
VA-2022,6,6,0.2066,0.2334
VA-2022,7,7,0.2131,0.3179
VA-2022,8,8,0.3065,0.4004
VA-2022,9,9,0.1923,0.1707
VA-2022,10,10,0.2904,0.4875
VA-2022,11,11,0.2734,0.5418
VA-passed-2026-blocked,1,1,0.0835,0.2324
VA-passed-2026-blocked,2,2,0.1765,0.2347
VA-passed-2026-blocked,3,3,0.2156,0.3857
VA-passed-2026-blocked,4,4,0.1791,0.2061
VA-passed-2026-blocked,5,5,0.1644,0.3011
VA-passed-2026-blocked,6,6,0.099,0.1578
VA-passed-2026-blocked,7,7,0.0873,0.1994
VA-passed-2026-blocked,8,8,0.1447,0.3348
VA-passed-2026-blocked,9,9,0.1078,0.1641
VA-passed-2026-blocked,10,10,0.2112,0.2796
VA-passed-2026-blocked,11,11,0.1602,0.1934
VT-2022,1,1,0.3731,0.4254
WA-2022,1,1,0.1481,0.3608
WA-2022,2,2,0.3229,0.3273
WA-2022,3,3,0.4163,0.3602
WA-2022,4,4,0.2308,0.3977
WA-2022,5,5,0.5017,0.5853
WA-2022,6,6,0.4959,0.4608
WA-2022,7,7,0.3649,0.3732
WA-2022,8,8,0.2682,0.4759
WA-2022,9,9,0.2392,0.4485
WA-2022,10,10,0.2531,0.2771
WI-2022,1,1,0.3024,0.2448
WI-2022,2,2,0.3989,0.5793
WI-2022,3,3,0.1741,0.3139
WI-2022,4,4,0.294,0.2103
WI-2022,5,5,0.3727,0.5675
WI-2022,6,6,0.3032,0.3282
WI-2022,7,7,0.2687,0.4275
WI-2022,8,8,0.3516,0.3767
WV-2022,1,1,0.2528,0.373
WV-2022,2,2,0.1313,0.2077
WY-2022,1,1,0.7731,0.5513
