state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
TX-15,TX,15,778482,56708,138714,118681,10739,6964,634515,61016,20870
TX-16,TX,16,772442,63274,178227,90441,22961,9419,633688,85390,31553
TX-17,TX,17,782444,85416,282559,432995,79544,41096,195745,110412,47093
TX-18,TX,18,757445,65896,224661,102246,317265,46517,269197,90630,40153
TX-19,TX,19,769212,68389,165605,391300,44249,12054,298081,77028,30674
TX-20,TX,20,782035,58144,194201,127051,71771,21923,539897,68538,30222
TX-21,TX,21,796800,91118,375729,436782,27414,19452,279586,145423,64064
TX-22,TX,22,809711,116957,340867,335546,87788,116295,236576,144561,66652
TX-23,TX,23,760052,90104,271799,229451,27129,20124,460153,103374,45348
TX-24,TX,24,759415,130523,529775,452791,58000,74547,137943,169216,74378
TX-25,TX,25,799293,73705,231453,370328,147263,22344,232312,92986,36626
TX-26,TX,26,800189,118909,397328,450902,77252,71519,162903,163958,64503
TX-27,TX,27,790784,81024,260878,347203,52883,12600,354089,95858,32999
TX-28,TX,28,768146,55729,145291,56635,3638,4796,696801,58837,19109
TX-29,TX,29,777029,60618,207099,89042,188082,26961,451839,58410,19788
TX-30,TX,30,778721,72437,236226,114338,329151,29778,281946,75300,33076
TX-31,TX,31,805174,89706,299087,429544,107683,31401,188401,115877,47153
TX-32,TX,32,778359,90873,331237,375618,110440,67347,193322,128449,55089
TX-33,TX,33,760415,72165,306533,172399,116617,43398,410945,98028,42599
TX-34,TX,34,769941,63618,159454,143400,11897,11535,592857,72164,27487
TX-35,TX,35,780381,76238,218665,242950,55049,12772,445721,83824,31516
TX-36,TX,36,765956,82823,228819,352138,126654,53844,207101,94155,34322
TX-37,TX,37,768620,88033,502594,343875,61501,46950,282424,186601,78084
TX-38,TX,38,779295,117743,441926,370443,82070,79420,214862,162444,69205
UT-01,UT,01,816247,92995,465489,509055,16506,35491,199058,121248,49379
UT-02,UT,02,831948,98920,435450,660005,8104,13697,113543,114116,43503
UT-03,UT,03,836077,86804,467679,663492,4124,9440,109559,116767,42214
UT-04,UT,04,846916,114983,529127,689393,5872,18593,90853,134107,49594
VA-01,VA,01,796383,111280,396952,565781,100782,46504,43696,152576,80320
VA-02,VA,02,785570,97385,369175,464796,173243,40870,61401,127063,60009
VA-03,VA,03,776995,68544,255732,306668,332735,22548,65996,91519,43923
VA-04,VA,04,790097,72843,275749,329132,328020,16328,79963,108355,50177
VA-05,VA,05,793237,74624,277932,547924,161247,15494,35194,106153,54939
VA-06,VA,06,786913,73798,274825,615759,63218,12893,64493,91020,43407
VA-07,VA,07,797571,116524,419321,406826,158846,40239,139609,116660,63969
VA-08,VA,08,775136,140950,731631,388115,98824,89771,155313,171735,132527
VA-09,VA,09,782422,58533,188105,682437,44475,11925,24105,79419,37547
VA-10,VA,10,791556,165737,640011,419790,67158,118521,145591,164799,96434
VA-11,VA,11,781620,166443,713552,382579,66718,174231,113779,180817,135195
VT-01,VT,01,645254,78024,290500,584421,7453,10503,16058,114217,60466
WA-01,WA,01,775437,141331,853660,465216,18996,155530,78339,166091,91940
WA-02,WA,02,774904,91038,565261,539061,20905,54893,96311,124617,52002
WA-03,WA,03,780221,92150,450328,592389,12316,27229,89281,99146,40947
WA-04,WA,04,775944,77769,314334,396298,8871,11891,313535,73659,31356
WA-05,WA,05,780818,75909,361293,623166,12995,17740,68110,102772,43519
WA-06,WA,06,775806,92410,489359,570256,25260,30583,70326,120010,51371
WA-07,WA,07,769754,129653,886427,485500,37730,113183,70683,214726,113942
WA-08,WA,08,772130,134226,702750,530226,13798,80713,85748,135692,63784
WA-09,WA,09,764000,108372,697190,308139,92416,172695,113798,139225,60771
WA-10,WA,10,771973,93767,455213,465679,52201,56469,103477,103758,44860
WI-01,WI,01,732525,80711,250351,549429,43169,13913,94265,104319,39094
WI-02,WI,02,740043,90216,348315,590142,30028,34512,52262,145452,61112
WI-03,WI,03,736769,72121,220190,660270,8368,16797,25707,91075,33506
WI-04,WI,04,727443,63139,200925,298119,230640,34263,132009,97863,41305
WI-05,WI,05,739405,99121,339001,637200,12020,21171,45475,142607,52482
WI-06,WI,06,736496,78781,231144,638800,13997,19132,40988,99371,35310
WI-07,WI,07,740148,74375,220841,666457,4922,11300,20153,93807,31581
WI-08,WI,08,739194,80329,235943,623985,11136,17343,46828,105413,33735
WV-01,WV,01,885040,54895,134655,805983,30929,5403,11275,81213,38842
WV-02,WV,02,899422,66431,190241,803516,26370,7925,24850,94673,48028
WY-01,WY,01,579761,74815,285100,476179,4723,4626,60581,74355,32292
