ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"171",65554,0.0234,0.3281,0.6043,0.0677,50874,0.9467,0.0533,0.0157,0.0124,0.0068,0.0131,0.0006,
"172",64450,0.0062,0.5534,0.4176,0.029,51165,0.6258,0.3742,0.0854,0.1,0.1718,0.0078,0.0008,
"173",62913,-0.0178,0.5729,0.3968,0.0303,49380,0.5834,0.4166,0.1377,0.2069,0.0652,0.0115,0.0018,
"174",62812,-0.0194,0.5891,0.3816,0.0294,49735,0.6191,0.3809,0.0941,0.1443,0.1243,0.0109,0.0015,
"175",62108,-0.0304,0.7636,0.1899,0.0466,55353,0.7147,0.2853,0.0621,0.0832,0.1297,0.0094,0.0011,
"176",62863,-0.0186,0.4126,0.5472,0.0402,50710,0.7756,0.2244,0.0986,0.0893,0.0211,0.0168,0.0006,
"177",62232,-0.0284,0.6687,0.2902,0.0411,47666,0.5806,0.4194,0.183,0.1942,0.0411,0.0172,0.0026,
"178",65518,0.0229,0.3973,0.5789,0.0238,52045,0.8993,0.1007,0.023,0.0131,0.0504,0.0071,0.0007,
"179",61563,-0.0389,0.8941,0.0877,0.0183,44131,0.1314,0.8686,0.3474,0.465,0.0853,0.0212,0.0033,
"180",62540,-0.0236,0.8899,0.0944,0.0157,44163,0.1522,0.8478,0.6056,0.2422,0.0428,0.0227,0.0036,
"181",62079,-0.0308,0.8944,0.0775,0.028,52716,0.3758,0.6242,0.1215,0.3919,0.111,0.0131,0.0041,
"182",66317,0.0354,0.7989,0.1677,0.0333,60165,0.7066,0.2934,0.0629,0.0871,0.1312,0.01,0.0008,
"183",66148,0.0327,0.3599,0.5926,0.0475,52999,0.8949,0.1051,0.0538,0.0247,0.013,0.0114,0.0009,
"184",64108,0.0009,0.7187,0.2416,0.0398,51669,0.6072,0.3928,0.1274,0.0637,0.1957,0.0145,0.0019,
"185",61863,-0.0342,0.7577,0.224,0.0183,48042,0.396,0.604,0.0396,0.4802,0.0818,0.0098,0.0014,
"186",62436,-0.0252,0.8908,0.0796,0.0296,49985,0.3443,0.6557,0.0634,0.4576,0.1323,0.0154,0.0016,
"187",66296,0.035,0.3756,0.565,0.0595,51569,0.8326,0.1674,0.0623,0.0385,0.0553,0.0104,0.0007,
"188",61778,-0.0355,0.8877,0.0653,0.047,53291,0.3641,0.6359,0.0629,0.3884,0.1824,0.0129,0.0015,
"189",61876,-0.034,0.5292,0.4269,0.0439,49419,0.6107,0.3893,0.1683,0.1808,0.0387,0.0186,0.0016,
"190",61771,-0.0356,0.9567,0.0312,0.0121,48635,0.0824,0.9176,0.0386,0.8554,0.0296,0.0132,0.0017,
"191",62629,-0.0222,0.9527,0.0361,0.0112,46806,0.0504,0.9496,0.0315,0.8933,0.0307,0.0141,0.0012,
"192",61419,-0.0411,0.9424,0.0435,0.0141,47688,0.097,0.903,0.0287,0.8539,0.0258,0.0141,0.0014,
"193",64302,0.0039,0.3276,0.6104,0.062,50501,0.8845,0.1155,0.0621,0.0208,0.0152,0.0146,0.0007,
"194",62236,-0.0284,0.6845,0.2684,0.0471,54094,0.7424,0.2576,0.0492,0.1433,0.0546,0.0122,0.0017,
"195",62205,-0.0288,0.895,0.081,0.0241,50360,0.3749,0.6251,0.0532,0.523,0.0473,0.0137,0.002,
"196",65953,0.0297,0.3925,0.5576,0.0499,52488,0.8829,0.1171,0.0415,0.044,0.0141,0.0156,0.0012,
"197",62586,-0.0229,0.9406,0.0455,0.0139,45621,0.08,0.92,0.6081,0.3171,0.0402,0.0228,0.004,
"198",63729,-0.0051,0.948,0.0363,0.0157,48685,0.0542,0.9458,0.0795,0.8164,0.0579,0.0157,0.0017,
"199",64111,0.0009,0.3967,0.544,0.0593,50848,0.8678,0.1322,0.0345,0.0535,0.0277,0.0145,0.0013,
"200",65563,0.0236,0.9435,0.0364,0.0201,53506,0.1764,0.8236,0.0274,0.7801,0.0169,0.0155,0.0012,
"201",66430,0.0371,0.952,0.0298,0.0182,51558,0.1012,0.8988,0.0407,0.8398,0.023,0.0155,0.0015,
"202",64695,0.01,0.7041,0.2675,0.0284,46656,0.3194,0.6806,0.2505,0.2147,0.1951,0.0136,0.0018,
"203",65519,0.0229,0.8414,0.1372,0.0214,48632,0.1867,0.8133,0.2155,0.4632,0.1402,0.0139,0.0029,
"",64053,0.0865,0.5001,0.4508,0.0491,51003,0.7615,0.2385,0.068,0.1148,0.0434,0.0132,0.0011,
