name,id,state,planType,year,nDistricts,modified,filename
"MN 2022 Congressional",4b212b88-2b8b-48aa-b2d2-e2f9980ac884,MN,congress,2022,8,2022-02-21,"MN 2022 Congressional.csv"
"MN 2022 State House",0e589052-0df8-4b8a-bede-c8e9fcc8814c,MN,lower,2022,134,,"MN 2022 State House.csv"
"MN 2022 State Senate",8d55ed9f-d825-4a8a-95e4-864cbeede612,MN,upper,2022,67,,"MN 2022 State Senate.csv"
"MN 2022 Congressional",eeb51954-eced-4c47-b041-20ce307a22b5,MN,congress,2022,8,2026-01-27,"MN 2022 Congressional.csv"
"MN 2022 State House",e24abe92-7cbf-406a-aadc-8c8da64cded6,MN,lower,2022,134,,"MN 2022 State House.csv"
"MN 2022 State Senate",edf127e5-daea-4672-8f9f-ba08d11344fc,MN,upper,2022,67,,"MN 2022 State Senate.csv"
"MO 116th Congressional",53ed6fd8-fea1-4139-a1f0-c8d47943cfe4,MO,congress,115,8,2020-02-28,"MO 116th Congressional.csv"
"MO 2018 Lower State House",96a1e211-471b-433e-8725-f36b83956b3d,MO,lower,2018,163,,"MO 2018 Lower State House.csv"
"MO 2018 Upper State House",4fc88c53-829e-4939-a131-98e3a0c19125,MO,upper,2018,34,2020-02-28,"MO 2018 Upper State House.csv"
"MO 2020 Congressional",e39cf7d4-f655-4f39-a7ff-178ca55673fa,MO,congress,2020,8,2021-11-09,"MO 2020 Congressional.csv"
"MO 2020 State House",fbee4d97-5a12-4790-ac8b-fef44ce6432d,MO,lower,2020,163,,"MO 2020 State House.csv"
"MO 2020 State Senate",3a0e988f-8c6f-4d02-9920-6936eea90b51,MO,upper,2020,34,,"MO 2020 State Senate.csv"
"MO 2022 Congressional",68b2b598-69cd-430e-bee2-1dc4b76705f6,MO,congress,2022,8,2022-05-23,"MO 2022 Congressional.csv"
"MO 2022 State House",ebb632d0-2569-4a2a-81f6-1d8d6adc0d5e,MO,lower,2022,163,2022-02-03,"MO 2022 State House.csv"
"MO 2022 State Senate",8d25c96a-2a78-40b2-b2f0-c504ecaa6762,MO,upper,2022,34,2022-04-14,"MO 2022 State Senate.csv"
"MO 2026 Congressional",84069d4a-8b18-470e-97e3-897ddb4b2428,MO,congress,2026,8,2025-11-09,"MO 2026 Congressional.csv"
"MS 116th Congressional",f661b634-071c-4a35-b6b8-7bac141fec7b,MS,congress,115,4,,"MS 116th Congressional.csv"
"MS 2018 Lower State House",9c1c699b-28f2-4f42-9cf2-40af296222ed,MS,lower,2018,122,,"MS 2018 Lower State House.csv"
"MS 2018 Upper State House",d1d44b19-b72b-475f-8d81-2355abfac5cd,MS,upper,2018,52,,"MS 2018 Upper State House.csv"
"MS 2020 Congressional",a1d6a28b-18ed-4481-8ae0-c3deaf673308,MS,congress,2020,4,,"MS 2020 Congressional.csv"
"MS 2020 State House",b424166f-ca91-4c6c-a6d7-612d49a34f14,MS,lower,2020,122,,"MS 2020 State House.csv"
"MS 2020 State Senate",7d59c9be-3aa0-417d-802f-89436cb878a2,MS,upper,2020,52,,"MS 2020 State Senate.csv"
"MS 2022 Congressional",2a63d0b3-58db-4e59-9b3b-436b221e078a,MS,congress,2022,4,2022-02-03,"MS 2022 Congressional.csv"
"MS 2022 State House",f8554517-7286-461a-9cfa-892b3d4731f7,MS,lower,2022,122,,"MS 2022 State House.csv"
"MS 2022 State Senate",f3908ec6-949f-444b-9fd5-7b2173abcb6e,MS,upper,2022,52,,"MS 2022 State Senate.csv"
"MS 2025 State House",207ee204-8093-4d3d-b9fe-f226dc4b47ab,MS,lower,2025,122,,"MS 2025 State House.csv"
"MS 2025 State Senate",35ad63a3-a7d0-4d71-88e2-18232383d3b7,MS,upper,2025,52,,"MS 2025 State Senate.csv"
"MS 2025 State House",2f9cd385-813e-4c81-a474-7d74d2d5ed51,MS,lower,2025.1,122,,"MS 2025 State House.csv"
"MS 2025 State Senate",5cd7f259-4e1b-4da5-9352-f50ead4494d0,MS,upper,2025.1,52,,"MS 2025 State Senate.csv"
"MT 2018 Lower State House",809245ae-e9ec-4562-a7a4-724e3cacb4b4,MT,lower,2018,100,,"MT 2018 Lower State House.csv"
"MT 2018 Upper State House",7ce67766-6035-4077-91a1-2d8de7743a47,MT,upper,2018,50,,"MT 2018 Upper State House.csv"
"MT 2020 State House",fe2f2ff5-f70e-459d-8a1f-48b3786c8e64,MT,lower,2020,100,,"MT 2020 State House.csv"
"MT 2020 State Senate",0312ecba-7989-480c-bed4-777e2e06c178,MT,upper,2020,50,,"MT 2020 State Senate.csv"
"MT 2022 Congressional",66ff2b64-826d-48a9-bbe4-08afa4c10873,MT,congress,2022,2,2021-11-15,"MT 2022 Congressional.csv"
"MT 2022 State House",9cbcae13-e8cf-47fb-bf43-cd44f3dd05b9,MT,lower,2022,100,,"MT 2022 State House.csv"
"MT 2022 State Senate",def19658-4d7c-4d36-a9c8-6d22ed5bf6ec,MT,upper,2022,50,,"MT 2022 State Senate.csv"
"NC 118th Congressional (Court Approved - HB 1029)",78c45418-c70a-4d74-bcde-0d74fae1a27e,NC,congress,115,13,2021-05-02,"NC 118th Congressional (Court Approved - HB 1029).csv"
"NC 2018 Lower State House",241341aa-3e2b-4648-bf91-ec993801d541,NC,lower,2018,120,,"NC 2018 Lower State House.csv"
"NC 2018 Upper State House",e32b833a-918f-4f46-bf66-1816c02bdc0d,NC,upper,2018,50,,"NC 2018 Upper State House.csv"
"NC 2020 Congressional (Court Approved - HB 1029 - Converted)",87c865df-abda-40b4-aabb-59f9c388c3a0,NC,congress,2020,13,,"NC 2020 Congressional (Court Approved - HB 1029 - Converted).csv"
"NC 2020 State House (Enacted 2019 - Converted)",c5bbacee-c990-4a1b-a63b-85a146c4ca7d,NC,lower,2020,120,,"NC 2020 State House (Enacted 2019 - Converted).csv"
"NC 2020 State Senate (Enacted 2019 - Converted)",e65f635d-af7b-4bb8-8591-72bb6c429f91,NC,upper,2020,50,,"NC 2020 State Senate (Enacted 2019 - Converted).csv"
"NC 2022 Congressional",6e8268a4-3b9b-4140-8f99-e3544a2f0816,NC,congress,2022,14,2022-02-24,"NC 2022 Congressional.csv"
"NC 2022 State House",e4b677ba-541f-40bd-ad9f-ba8707515f7d,NC,lower,2022,120,2022-02-24,"NC 2022 State House.csv"
"NC 2022 State Senate",8288b613-df48-45a7-9bd1-5d9f9ca3d685,NC,upper,2022,50,2022-02-24,"NC 2022 State Senate.csv"
"NC 2024 Congressional",4f133eac-adb1-4bb4-a7fe-92aa8a5f1ed4,NC,congress,2024,14,2023-11-29,"NC 2024 Congressional.csv"
"NC 2024 State House",42841eaa-3a00-49ce-ba28-77726707251a,NC,lower,2024,120,,"NC 2024 State House.csv"
"NC 2024 State Senate",9157bd00-cfbb-4d32-9b01-ce7f38e53d1f,NC,upper,2024,50,2023-11-29,"NC 2024 State Senate.csv"
"NC 2026 Congressional",95fee9e1-2c0b-49a4-95b2-6a92aa185c61,NC,congress,2026,14,2025-11-09,"NC 2026 Congressional.csv"
"ND 2018 Lower State House",b25e629a-f6ac-4a6d-b7e2-5bc1fb48a999,ND,lower,2018,47,,"ND 2018 Lower State House.csv"
"ND 2020 State Legislatures",ce9f5d2e-7854-4e25-af08-b844c8fd079b,ND,upper,2020,47,,"ND 2020 State Legislatures.csv"
"ND 2022 State Senate",93075ffd-76b7-4374-ad3c-b0eb3d94efd3,ND,upper,2022,47,,"ND 2022 State Senate.csv"
"ND 2022 State House",3dae0952-0a39-4b93-99c7-d18f67b95bb7,ND,lower,2022,49,,"ND 2022 State House.csv"
"ND 2024 State Senate",0493b6e8-10fb-4def-be5e-f5ed0ff3f963,ND,upper,2024,47,,"ND 2024 State Senate.csv"
"ND 2024 State House",16edefb5-c6c7-4cdf-822a-a6a714f7e52f,ND,lower,2024,49,,"ND 2024 State House.csv"
"NE 116th Congressional",08fd73da-d47e-4190-b8b1-f5a7fdb83b75,NE,congress,115,3,,"NE 116th Congressional.csv"
"NE 2018 State House",0073fbe7-166c-45dc-90f2-4c93cd372ff2,NE,upper,2018,49,,"NE 2018 State House.csv"
"NE 2020 Congressional",a2b03bdb-525c-4082-945f-1150528ec151,NE,congress,2020,3,,"NE 2020 Congressional.csv"
"NE 2020 State Senate",9d437afb-1aea-4d50-84a0-f3e37e4e6b2d,NE,upper,2020,49,,"NE 2020 State Senate.csv"
"NE 2022 Congressional",9de1188c-2169-4c5a-a4f3-76179d22b279,NE,congress,2022,3,2021-11-15,"NE 2022 Congressional.csv"
"NE 2022 State Senate",ab1f2fef-b979-4431-844a-98d93a4d6730,NE,upper,2022,49,,"NE 2022 State Senate.csv"
"NH 116th Congressional",f65ef53a-5a6d-430d-ae51-e51e6147f3cd,NH,congress,115,2,,"NH 116th Congressional.csv"
"NH 2018 Lower State House",b40925fa-9ef6-470a-a9b6-da316a2ac38c,NH,lower,2018,161,,"NH 2018 Lower State House.csv"
"NH 2018 Upper State House",e9dce281-d65c-4252-a183-9b4634f1978c,NH,upper,2018,24,,"NH 2018 Upper State House.csv"
"NH 2020 Congressional",dc25e6e9-1e87-439f-8f67-9f20aa842487,NH,congress,2020,2,,"NH 2020 Congressional.csv"
"NH 2020 State House",f9d72699-7ef6-4c38-afb0-c6f2d08f0702,NH,lower,2020,161,,"NH 2020 State House.csv"
"NH 2020 State Senate",8617ea05-d3d5-45fe-ab73-de5b1122db69,NH,upper,2020,24,,"NH 2020 State Senate.csv"
"NH 2022 Congressional",a1a2b285-f862-402c-9e89-b45791a46473,NH,congress,2022,2,2022-06-01,"NH 2022 Congressional.csv"
"NH 2022 State House",dfddaed1-5a76-4ca7-8a11-ddc533ea9f6e,NH,lower,2022,164,,"NH 2022 State House.csv"
"NH 2022 State Senate",15bf8903-0c56-4536-9265-7b7177726a73,NH,upper,2022,24,,"NH 2022 State Senate.csv"
"NJ 116th Congressional",0c3e761c-fb70-4745-9da2-b78b949d4122,NJ,congress,115,12,,"NJ 116th Congressional.csv"
"NJ 2018 Upper State House",a15d9637-3381-4ad6-b5ad-a85be7368b49,NJ,lower,2018,40,,"NJ 2018 Upper State House.csv"
"NJ 2020 Congressional",c601c3fd-769d-4a46-9c0c-4801ad29fa31,NJ,congress,2020,12,,"NJ 2020 Congressional.csv"
"NJ 2020 State Legislatures",3e874200-c618-42b5-8ed0-55cfc0bc5755,NJ,upper,2020,40,,"NJ 2020 State Legislatures.csv"
"NJ 2022 Congressional",6ff0b024-2e5d-4e9b-ba0e-56f6de17ea80,NJ,congress,2022,12,2022-03-04,"NJ 2022 Congressional.csv"
"NJ 2022 State Legislatures",61388384-5d1f-4f3b-9669-31e485b781f1,NJ,upper,2022,40,2022-03-04,"NJ 2022 State Legislatures.csv"
"NM 116th Congressional",dd6717a4-ea8e-460d-970a-a302d86c1ee1,NM,congress,115,3,2021-05-02,"NM 116th Congressional.csv"
"NM 2018 Lower State House",4700854a-a08d-4a93-96af-2a2395ed21e6,NM,lower,2018,70,,"NM 2018 Lower State House.csv"
"NM 2018 Upper State House",06869f29-1c53-4fce-8e0b-b6e1e49ad95d,NM,upper,2018,42,,"NM 2018 Upper State House.csv"
"NM 2020 Congressional",33ecdb53-4a90-4191-88b2-b58148c20a45,NM,congress,2020,3,2022-06-12,"NM 2020 Congressional.csv"
"NM 2020 State House",cb331bfa-90f3-4f21-aee0-54edce6e5bfa,NM,lower,2020,70,,"NM 2020 State House.csv"
"NM 2020 State Senate",98f0ac40-b84a-4318-8e3e-9c91c839c6f8,NM,upper,2020,42,,"NM 2020 State Senate.csv"
"NM 2022 Congressional",ec1c76cd-f59f-445b-8f24-fbffb0e8bdf5,NM,congress,2022,3,2021-12-20,"NM 2022 Congressional.csv"
"NM 2022 State House",5e00bd63-7008-4b5e-b570-db5ba1d36785,NM,lower,2022,70,,"NM 2022 State House.csv"
"NM 2022 State Senate",11c9cc63-8521-4785-89f3-58b5e4359507,NM,upper,2022,42,2022-01-19,"NM 2022 State Senate.csv"
"NV 116th Congressional",0e58977e-bb6b-488f-b6e1-36d6a55a7c0c,NV,congress,115,4,,"NV 116th Congressional.csv"
"NV 2018 Lower State House",33d282f2-d93a-4d5f-aadf-88f50ce2da4a,NV,lower,2018,42,,"NV 2018 Lower State House.csv"
"NV 2018 Upper State House",8cb306b0-bdb4-40d2-8816-92e0bb5d982b,NV,upper,2018,21,,"NV 2018 Upper State House.csv"
"NV 2020 Congressional",43ac26c6-a829-4102-9d40-be3288998318,NV,congress,2020,4,,"NV 2020 Congressional.csv"
"NV 2020 State House",deaf50a1-581a-4f1e-a21b-4d798d6d58c9,NV,lower,2020,42,,"NV 2020 State House.csv"
"NV 2020 State Senate",fc1bd6ca-39d6-4326-bed0-4d78991177e2,NV,upper,2020,21,,"NV 2020 State Senate.csv"
"NV 2022 Congressional",eb89e40d-595f-485f-9a43-d1bbdd6d0cb4,NV,congress,2022,4,2021-11-22,"NV 2022 Congressional.csv"
"NV 2022 State House",2a33203f-8725-48dc-ba1b-478bd6012a58,NV,lower,2022,42,,"NV 2022 State House.csv"
"NV 2022 State Senate",99808524-5012-4119-91ce-973ba647806b,NV,upper,2022,21,,"NV 2022 State Senate.csv"
"NY 116th Congressional",8f4e0292-205f-4260-b2f2-717687baa0c6,NY,congress,115,27,2021-05-02,"NY 116th Congressional.csv"
"NY 2018 Lower State House",ae6b9fb0-8348-4666-a2bf-1997e26cf4e9,NY,lower,2018,150,,"NY 2018 Lower State House.csv"
"NY 2018 Upper State House",3c13df3e-2cbc-4ba1-9ee1-2921d81118f0,NY,upper,2018,63,,"NY 2018 Upper State House.csv"
"NY 2020 Congressional",6703b5c2-0849-4fdd-9712-f281849255ab,NY,congress,2020,27,2022-06-12,"NY 2020 Congressional.csv"
"NY 2020 State House",a8e775b4-a57d-4899-b5fe-797958d6b9ec,NY,lower,2020,150,,"NY 2020 State House.csv"
"NY 2020 State Senate",f5f5e082-407c-432c-899a-6d615cc5faa8,NY,upper,2020,63,2021-11-09,"NY 2020 State Senate.csv"
"NY 2022 Congressional",395a7fbe-fa32-47fc-993d-e07d36baff72,NY,congress,2022,26,2022-06-03,"NY 2022 Congressional.csv"
"NY 2022 State House",1933abca-db19-40f9-808d-17dd90642cdc,NY,lower,2022,150,2022-02-10,"NY 2022 State House.csv"
"NY 2022 State Senate",bb78268d-ea3c-46a1-a484-c192a6c0e15d,NY,upper,2022,63,2022-09-02,"NY 2022 State Senate.csv"
"NY 2024 Congressional",948da7ae-d2f9-48d8-a04a-433f5ff88fcd,NY,congress,2024,26,2024-03-29,"NY 2024 Congressional.csv"
"NY 2024 State House",5c215062-1c20-4c02-baad-3c348c028352,NY,lower,2024,150,,"NY 2024 State House.csv"
"OH 116th Congressional",4767b727-0165-4901-9e40-3fc135bf1032,OH,congress,115,16,,"OH 116th Congressional.csv"
"OH 2018 Lower State House",51c73f00-ffa5-4aa6-8656-9bfd26baf468,OH,lower,2018,99,,"OH 2018 Lower State House.csv"
"OH 2018 Upper State House",6c2c2f9c-5ffe-42f0-9e1f-809c8b9eb10d,OH,upper,2018,33,,"OH 2018 Upper State House.csv"
"OH 2020 Congressional",00eb40c5-ef15-4634-af87-72fd2b9d062d,OH,congress,2020,16,,"OH 2020 Congressional.csv"
"OH 2020 State House",8db12bef-0510-4386-be22-19949a43b73c,OH,lower,2020,99,,"OH 2020 State House.csv"
"OH 2020 State Senate",bc4f22d5-75d7-42f5-a628-c1dc9b0740e4,OH,upper,2020,33,,"OH 2020 State Senate.csv"
"OH 2022 Congressional",64d56870-70ea-4f4d-b667-9a4fd60ac511,OH,congress,2022,15,2022-04-04,"OH 2022 Congressional.csv"
"OH 2022 State House",90de759b-f81d-44c0-a019-d2714a38cc3a,OH,lower,2022,99,,"OH 2022 State House.csv"
"OH 2022 State Senate",6eba71b1-18a1-48d1-99c9-62afba432253,OH,upper,2022,33,,"OH 2022 State Senate.csv"
"OH 2024 State House",194951e2-47e3-4ce2-9317-f15dbf42ff70,OH,lower,2024,99,2023-11-29,"OH 2024 State House.csv"
"OH 2024 State Senate",12110497-58f6-416f-a13d-100dcbd88450,OH,upper,2024,33,,"OH 2024 State Senate.csv"
"OH 2026 Congressional",db6559b0-8923-471b-b219-152ba0decd9b,OH,congress,2026,15,2025-11-09,"OH 2026 Congressional.csv"
"OK 116th Congressional",a161e79a-cc89-4a86-849b-e9a6983b9900,OK,congress,115,5,,"OK 116th Congressional.csv"
"OK 2018 Lower State House",37520fcb-1dc3-4f90-a834-5f8949219410,OK,lower,2018,101,,"OK 2018 Lower State House.csv"
"OK 2018 Upper State House",207bc3fe-c715-48ae-8e9e-d5742db0fa4d,OK,upper,2018,48,,"OK 2018 Upper State House.csv"
"OK 2020 Congressional",bae848ae-a6fd-4647-a2fc-3af07978eb28,OK,congress,2020,5,,"OK 2020 Congressional.csv"
"OK 2020 State House",854457c5-2a04-4288-bcf8-60817508cb57,OK,lower,2020,101,,"OK 2020 State House.csv"
"OK 2020 State Senate",8a4e4017-50e4-4ee4-b07f-54ae5de6cf65,OK,upper,2020,48,,"OK 2020 State Senate.csv"
"OK 2022 Congressional",f726bcb3-b750-44b2-9d0b-e2df90fe6fa5,OK,congress,2022,5,2022-01-14,"OK 2022 Congressional.csv"
"OK 2022 State House",a4a178b9-581b-4591-bcf9-13e18bd850ea,OK,lower,2022,101,,"OK 2022 State House.csv"
"OK 2022 State Senate",0fa6fe25-9db7-4777-a150-d2309188823f,OK,upper,2022,48,,"OK 2022 State Senate.csv"
"OR 116th Congressional",b4f95111-9fbb-4fd7-8642-53e793155f41,OR,congress,115,5,,"OR 116th Congressional.csv"
"OR 2018 Lower State House",62477823-1f28-4099-891e-aaf581940b12,OR,lower,2018,60,,"OR 2018 Lower State House.csv"
"OR 2018 Upper State House",8a17970d-05bb-4c06-a63e-4e713c682e88,OR,upper,2018,30,,"OR 2018 Upper State House.csv"
"OR 2020 Congressional",d0da4067-8219-48b6-9403-6bb5782d2dba,OR,congress,2020,5,,"OR 2020 Congressional.csv"
"OR 2020 State House",9fa8e947-a539-492d-8689-9e40e195b2b9,OR,lower,2020,60,,"OR 2020 State House.csv"
"OR 2020 State Senate",239a73b1-7273-47c9-b7e6-0601f2714112,OR,upper,2020,30,,"OR 2020 State Senate.csv"
"OR 2022 Congressional",9b2b545f-5cd2-4e0d-a9b9-cc3915a4750f,OR,congress,2022,6,2021-11-14,"OR 2022 Congressional.csv"
"OR 2022 State House",c572dfa0-276b-4a76-8531-06669d885f27,OR,lower,2022,60,,"OR 2022 State House.csv"
"OR 2022 State Senate",a5aadfab-0234-489a-a4df-cc008a844926,OR,upper,2022,30,,"OR 2022 State Senate.csv"
"PA 116th Congressional",bee23a27-3796-4f20-99da-98550eebd85a,PA,congress,115,18,,"PA 116th Congressional.csv"
"PA 2018 Lower State House",728464bc-3981-42a1-8f92-2013a074e318,PA,lower,2018,203,2021-05-02,"PA 2018 Lower State House.csv"
"PA 2018 Upper State House",e9610cd5-e72d-4abc-877a-f40faa6ee538,PA,upper,2018,50,2021-05-02,"PA 2018 Upper State House.csv"
"PA 2020 Congressional",3d91ae72-035c-49d8-920b-d44012d3ea2d,PA,congress,2020,18,2023-07-18,"PA 2020 Congressional.csv"
"PA 2020 State House",1f6aa7de-308c-4ea1-a1bb-bff32d498d77,PA,lower,2020,203,2021-11-09,"PA 2020 State House.csv"
"PA 2020 State Senate",d395da42-e7b5-4c14-85c8-e76bc6bd6ae6,PA,upper,2020,50,2021-11-09,"PA 2020 State Senate.csv"
"PA 2022 Congressional",b0a94d77-5d99-41c5-bc01-5859a6e1f3e6,PA,congress,2022,17,2022-02-25,"PA 2022 Congressional.csv"
"PA 2022 State House",12a18072-adf1-48ac-a9d1-12280567b824,PA,lower,2022,203,2022-03-04,"PA 2022 State House.csv"
"PA 2022 State Senate",317011f0-6bcd-4df6-a1ee-435a92640426,PA,upper,2022,50,2022-03-04,"PA 2022 State Senate.csv"
"RI 116th Congressional",9949d8d8-2197-44b7-9768-e163ec5ad6f6,RI,congress,115,2,,"RI 116th Congressional.csv"
"RI 2018 Lower State House",9ea70b77-998f-4623-9636-2fc03571a43c,RI,lower,2018,75,,"RI 2018 Lower State House.csv"
"RI 2018 Upper State House",f6b62d62-4816-4894-bed7-8688bef0a6cd,RI,upper,2018,38,,"RI 2018 Upper State House.csv"
"RI 2020 Congressional",413e574e-0568-48f4-8e4e-0a31aefa65c2,RI,congress,2020,2,,"RI 2020 Congressional.csv"
"RI 2020 State House",e1f078e4-db50-4312-b37a-f59be0bea45e,RI,lower,2020,75,,"RI 2020 State House.csv"
"RI 2020 State Senate",921eba30-ae19-469d-9ef8-c34092bc123f,RI,upper,2020,38,,"RI 2020 State Senate.csv"
"RI 2022 Congressional",cffbb279-824c-47b8-90c7-3070378e37ae,RI,congress,2022,2,2022-02-25,"RI 2022 Congressional.csv"
"RI 2022 State House",90ec6599-f715-4a3a-b50b-5858788046ac,RI,lower,2022,75,,"RI 2022 State House.csv"
"RI 2022 State Senate",2aab93a2-7e15-4047-87a8-02b0deb3eb4e,RI,upper,2022,38,,"RI 2022 State Senate.csv"
"SC 116th Congressional",ea290ec9-e65c-42d6-b244-0090ee40ca2d,SC,congress,115,7,,"SC 116th Congressional.csv"
"SC 2018 Lower State House",2d9c8c11-858d-4a51-95b7-b132145d68c0,SC,lower,2018,124,,"SC 2018 Lower State House.csv"
"SC 2018 Upper State House",4b582568-5d9e-48c2-9312-aeccbc285365,SC,upper,2018,46,,"SC 2018 Upper State House.csv"
"SC 2020 Congressional",ac3c139e-73a1-4391-87f4-1aaaf7ead166,SC,congress,2020,7,2021-11-09,"SC 2020 Congressional.csv"
"SC 2020 State House",daa5b74c-5f3f-4793-8bf4-59c3224d97c2,SC,lower,2020,124,,"SC 2020 State House.csv"
"SC 2020 State Senate",b0cf2d82-6dc3-48cd-8ba4-af26dddd964a,SC,upper,2020,46,,"SC 2020 State Senate.csv"
"SC 2022 Congressional",839561a1-8c15-4c4b-ab56-3275d68092f9,SC,congress,2022,7,2022-02-03,"SC 2022 Congressional.csv"
"SC 2022 State Senate",7c9df455-6865-4f9e-8172-7c1a26ab28b9,SC,upper,2022,46,,"SC 2022 State Senate.csv"
"SC 2022 State House",f886f454-bdf5-463e-823e-7dfe56c8bbdd,SC,lower,2022,124,,"SC 2022 State House.csv"
"SC 2024 State House",1e28dcaf-fe98-47a0-a2b7-76f890b6c62a,SC,lower,2024,124,,"SC 2024 State House.csv"
"SD 2018 Lower State House",52ffade8-5e0a-4bea-b603-3a884b5ed4b1,SD,lower,2018,37,,"SD 2018 Lower State House.csv"
"SD 2018 Upper State House",08f2c1ca-c66d-4240-a676-880334fa596b,SD,upper,2018,35,,"SD 2018 Upper State House.csv"
"SD 2020 State House",f4e49e3f-d68f-4300-acf1-8de45271b8eb,SD,lower,2020,37,,"SD 2020 State House.csv"
"SD 2020 State Senate",106d8866-5d74-4f36-99d2-709a8fbd5b62,SD,upper,2020,35,,"SD 2020 State Senate.csv"
"SD 2022 State House",364d2cd2-893a-4582-910c-9d91ffcd5c2a,SD,lower,2022,37,,"SD 2022 State House.csv"
"SD 2022 State Senate",0a226808-0b1c-4049-800b-612e18674828,SD,upper,2022,35,,"SD 2022 State Senate.csv"
"TN 116th Congressional",47e18b49-85c5-4b07-b523-b29c3a4b3b74,TN,congress,115,9,,"TN 116th Congressional.csv"
"TN 2018 Lower State House",7aaedde7-1d83-4f09-8f40-7165415e093d,TN,lower,2018,99,2020-02-28,"TN 2018 Lower State House.csv"
"TN 2018 Upper State House",cf60c146-2d69-48ec-9d83-aa59337182b1,TN,upper,2018,33,,"TN 2018 Upper State House.csv"
"TN 2020 Congressional",5324d375-0bc2-4960-9f87-6b9aa8e39b0d,TN,congress,2020,9,2021-11-09,"TN 2020 Congressional.csv"
"TN 2020 State House",e7c9e385-70d4-4fc2-9c84-5537bcab3488,TN,lower,2020,99,2021-11-09,"TN 2020 State House.csv"
"TN 2020 State Senate",0c73a0f5-005e-4de8-a189-885a0fbbe5b5,TN,upper,2020,33,2021-11-09,"TN 2020 State Senate.csv"
"TN 2022 Congressional",9185d1ce-1556-46ab-9628-6749769d0262,TN,congress,2022,9,2023-03-03,"TN 2022 Congressional.csv"
"TN 2022 State House",c0ed8258-ce44-4eec-9736-2cc3b86a9d16,TN,lower,2022,99,2022-02-10,"TN 2022 State House.csv"
"TN 2022 State Senate",62c62bed-a104-4afc-9286-9b3915b45f58,TN,upper,2022,33,2022-02-10,"TN 2022 State Senate.csv"
"TN 2026 Congressional",7ef89616-97a7-459f-bd9f-035567f49746,TN,congress,2026,9,2026-05-09,"TN 2026 Congressional.csv"
"TX 116th Congressional",c706c1de-408b-46b2-ac5b-498cf1f64058,TX,congress,115,36,,"TX 116th Congressional.csv"
"TX 2018 Lower State House",2c003259-5842-4a6f-b05c-2f5574b15705,TX,lower,2018,150,,"TX 2018 Lower State House.csv"
"TX 2018 Upper State House",53df56e8-f151-4b26-88f0-7d5e255b9fac,TX,upper,2018,31,,"TX 2018 Upper State House.csv"
"TX 2020 Congressional",19b1b774-7706-485b-a21a-896bbcbddbba,TX,congress,2020,36,,"TX 2020 Congressional.csv"
"TX 2020 State House",d7ff882d-9e26-4958-aaf0-84726cfe22c9,TX,lower,2020,150,2021-11-09,"TX 2020 State House.csv"
"TX 2020 State Senate",2058bfdd-689b-4d8b-9e75-52dc536b66fd,TX,upper,2020,31,2021-11-09,"TX 2020 State Senate.csv"
"TX 2022 Congressional",1c2c1e0d-2fd1-43a8-a039-73e7023124d1,TX,congress,2022,38,2021-11-09,"TX 2022 Congressional.csv"
"TX 2022 State House",e74af879-6ba8-4a5c-b946-0b9364aae40b,TX,lower,2022,150,2021-11-09,"TX 2022 State House.csv"
"TX 2022 State Senate",94b33bee-887d-4170-b154-80aa55c8fe5b,TX,upper,2022,31,2021-11-09,"TX 2022 State Senate.csv"
"TX 2026 Congressional",1ea6b752-99fa-4bbb-8c4e-3110234ac5e6,TX,congress,2026,38,2025-09-03,"TX 2026 Congressional.csv"
"UT 116th Congressional",4603c0e4-0e01-49cf-bc50-a02d5c60afff,UT,congress,115,4,,"UT 116th Congressional.csv"
"UT 2018 Lower State House",698dda4d-21fd-451c-aa85-8d6431b523bc,UT,lower,2018,75,,"UT 2018 Lower State House.csv"
"UT 2018 Upper State House",86a37b77-8c22-4d94-a915-98d9617d4229,UT,upper,2018,29,,"UT 2018 Upper State House.csv"
"UT 2020 Congressional",34e5ac82-d619-4402-963a-9d1118f318f7,UT,congress,2020,4,2021-11-09,"UT 2020 Congressional.csv"
"UT 2020 State House",6063bd3c-36d9-4506-906b-273165a9b739,UT,lower,2020,75,,"UT 2020 State House.csv"
"UT 2020 State Senate",d02d29a1-0927-448d-9f8a-1b50823844db,UT,upper,2020,29,,"UT 2020 State Senate.csv"
"UT 2022 Congressional",b4d46a7e-4366-4f6c-ac54-ff6640d4e13f,UT,congress,2022,4,2021-11-25,"UT 2022 Congressional.csv"
"UT 2022 State House",927e8547-08f9-43e3-8abc-68a7faf89d71,UT,lower,2022,75,,"UT 2022 State House.csv"
"UT 2022 State Senate",cfd457c9-6d3e-496d-9377-4b68de384a57,UT,upper,2022,29,,"UT 2022 State Senate.csv"
"UT 2026 Congressional",6837b2c1-45d1-42e7-a66d-7f3f1aa1b0b1,UT,congress,2026,4,2025-11-13,"UT 2026 Congressional.csv"
"VA 116th Congressional",5b68be53-e6bc-4c73-bc83-f91737056fda,VA,congress,115,11,,"VA 116th Congressional.csv"
"VA 2018 Lower State House",e3c011c1-df02-42a4-bb6e-1db1a137a734,VA,lower,2018,100,,"VA 2018 Lower State House.csv"
"VA 2018 Upper State House",caa0ac18-8c6b-414f-a0bb-5f853eb98220,VA,upper,2018,40,,"VA 2018 Upper State House.csv"
